departamento,anio,contratos,valor
Santander,2017.0,2,72447580.56
Santander,2018.0,31,295538802560.0
Santander,2019.0,20,36679783734.0
Santander,2020.0,44,94178594282.0
Santander,2021.0,22,301647540601.0
Santander,2022.0,38,63257760686.0
Santander,2023.0,97,30632524121.0
Santander,2024.0,74,85298454862.55
Santander,2025.0,24,12989001266.0
Santander,2026.0,18,830209831.0
Sucre,2017.0,4,172576891.0
Sucre,2018.0,7,879183909.4
Sucre,2019.0,16,11069000328.0
Sucre,2020.0,33,79069059807.03
Sucre,2021.0,23,102152867683.0
Sucre,2022.0,12,18321027313.0
Sucre,2023.0,54,15610103727.0
Sucre,2024.0,49,15587999778.09
Sucre,2025.0,62,16953881007.0
Sucre,2026.0,13,5677795115.0
Tolima,2018.0,33,4907586210.440001
Tolima,2019.0,26,434498778358.0
Tolima,2020.0,29,95563899164.63
Tolima,2021.0,33,219354543289.0
Tolima,2022.0,19,10686759081.0
Tolima,2023.0,92,19201372131.03
Tolima,2024.0,56,21367834304.56
Tolima,2025.0,16,3413449635.0
Tolima,2026.0,9,378698881.0
Valle del Cauca,2018.0,10,11440535111.279999
Valle del Cauca,2019.0,11,30338326230.0
Valle del Cauca,2020.0,26,258573388964.0
Valle del Cauca,2021.0,9,9086877479.0
Valle del Cauca,2022.0,10,30990390283.0
Valle del Cauca,2023.0,41,83465117506.22
Valle del Cauca,2024.0,36,54114131692.0
Valle del Cauca,2025.0,13,45576356467.0
Valle del Cauca,2026.0,7,346626000.0
Vaupés,2019.0,3,1427765561.0
Vaupés,2020.0,2,724836450.0
Vaupés,2021.0,1,326192338.0
Vaupés,2023.0,6,7167810605.0
Vaupés,2024.0,2,438887371.0
Vichada,2020.0,5,2764392410.0
Vichada,2021.0,2,383063433.0
Vichada,2023.0,4,526332514.0
Vichada,2024.0,3,520505296.0
Vichada,2026.0,1,74090331.0
