anio,trazabilidad,departamento,tipo,modalidad,contratos,valor,nombre_geojson
2018.0,Departamento único,Nariño,Consultoría,Concurso de méritos abierto,1,338778720.0,NARIÑO
2018.0,Departamento único,Nariño,Consultoría,Mínima cuantía,2,129242924.0,NARIÑO
2018.0,Departamento único,Nariño,Interventoría,Concurso de méritos abierto,2,345623970.0,NARIÑO
2018.0,Departamento único,Nariño,Interventoría,Mínima cuantía,2,91014118.1,NARIÑO
2018.0,Departamento único,Nariño,Obra,Licitación pública,1,6259727716.0,NARIÑO
2018.0,Departamento único,Nariño,Obra,Mínima cuantía,2,91550004.0,NARIÑO
2018.0,Departamento único,Nariño,Obra,Selección Abreviada de Menor Cuantía,5,2009927945.0,NARIÑO
2018.0,Departamento único,Nariño,Prestación de servicios,Contratación directa,1,91142800.0,NARIÑO
2018.0,Departamento único,Nariño,Prestación de servicios,Mínima cuantía,3,90220365.0,NARIÑO
2018.0,Departamento único,Nariño,Suministros,Mínima cuantía,2,74355960.0,NARIÑO
2018.0,Departamento único,Norte de Santander,Obra,Mínima cuantía,7,331982893.4,NORTE DE SANTANDER
2018.0,Departamento único,Norte de Santander,Obra,Selección Abreviada de Menor Cuantía,2,1318638354.47,NORTE DE SANTANDER
2018.0,Departamento único,Norte de Santander,Prestación de servicios,Mínima cuantía,2,22812111.0,NORTE DE SANTANDER
2018.0,Departamento único,Putumayo,Interventoría,Concurso de méritos abierto,2,3891126609.0,PUTUMAYO
2018.0,Departamento único,Putumayo,Interventoría,Mínima cuantía,1,51621605.0,PUTUMAYO
2018.0,Departamento único,Putumayo,Obra,Selección Abreviada de Menor Cuantía,1,620131496.0,PUTUMAYO
2018.0,Departamento único,Putumayo,Prestación de servicios,Mínima cuantía,1,53435831.0,PUTUMAYO
2018.0,Departamento único,Putumayo,Suministros,Mínima cuantía,1,25020001.0,PUTUMAYO
2018.0,Departamento único,Quindío,Interventoría,Concurso de méritos abierto,2,777346580.0,QUINDIO
2018.0,Departamento único,Quindío,Obra,Contratación Directa (con ofertas),1,5419238921.23,QUINDIO
2018.0,Departamento único,Quindío,Obra,Mínima cuantía,1,7900500.0,QUINDIO
