id_contrato,objeto_del_contrato,departamento_inferido,asignacion_correcta,observacion
CO1.PCCNTR.736359,MANTENIMIENTO RUTINARIO EN LAS VIAS A CARGO DE LA DIRECCION TERRITORIAL PUTUMAYO; MODULO 11; GRUPO 11; CODIGO 1003 PASTO- EL PEPINO PR113+0000 (FILO DE HAMBRE) - PR137+0700 (EL PEPINO),Putumayo,,
CO1.PCCNTR.6261068,SERVICIO DE MANTENIMIENTO RUTINARIO DE LAS VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS DIRECCION TERRITORIAL BOYACA SECTORES 6009 TUNJA - PÁEZ; PR39+0000 (ALTO EL VIJAGUAL) - PR78+0000 (EL PERICO) LOTE 2.,Boyacá,,
CO1.PCCNTR.5221002,ADMINISTRACIÓN VIAL DE LAS CARRETERAS NACIONALES A CARGO DE LA DIRECCIÓN TERRITORIAL BOYACA GRUPO AMV 4 LOTE 8,Boyacá,,
CO1.PCCNTR.2694831,URGENCIA MANIFIESTA PARA LA ATENCIÓN DE LA EMERGENCIA VIAL REGISTRADA ENTRE LOS PR 95+0000 Y PR 129+0180 DE LA RUTA 6515 LA CABUYA - SARAVENA EN EL DEPARTAMENTO DE ARAUCA.,Arauca,,
CO1.PCCNTR.1888295,CONSTRUCCION DE OBRAS Y SEÑALIZACION PARA LA SEGURIDAD VIAL EN VIAS A CARGO DE INVIAS EN JURISDICCION DT HUILA,Huila,,
CO1.PCCNTR.5361951,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCION COMUNAL DE LA VEREDA SAN GERMAN DEL MUNICIPIO DE ANCUYA; EN EL DEPARTAMENTO DE NARIÑO PARA EL MEJORAMIENTO Y MANTENIMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,Nariño,,
CO1.PCCNTR.6580672,AUNAR ESFUERZOS ENTRE EL INSTITUTO NACIONAL DE VÍAS Y LA JUNTA DE ACCION COMUNAL VEREDA LA ALCANCIA DEL MUNICIPIO DE TIERRALTA; DEL DEPARTAMENTO DE CORDOBA PARA EL MEJORAMIENTO VIAL EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL.,Córdoba,,
CO1.PCCNTR.1190635,MANTENIMIENTO RUTINARIO VÍAS A CARGO DEL INSTITUTO NACIONAL DE VÍAS DIRECCIÓN TERRITORIAL BOYACÁ; VÍAS: 6006 DOS YMEDIO - OTANCHE; PR31+0000 (PUERTOROMERO) - PR63+0000 (LA YE),Boyacá,,
CO1.PCCNTR.5089687,PRESTAR SERVICIOS PROFESIONALES PARA ATENDER ASUNTOS DE CARÁCTER JURÍDICO EN LA EJECUCIÓN DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL; EN LA DIRECCIÓN TERRITORIAL CÓRDOBA,Córdoba,,
CO1.PCCNTR.1478889,AUNAR ESFUERZOS PARA EL MANTENIMIENTO Y MEJORAMIENTO DE VIAS RURALES EN EL MUNICIPIO DE SUPATÁ; DEPARTAMENTO DE CUNDINAMARCA DEL PROGRAMA COLOMBIA RURAL,Cundinamarca,,
